Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
   1698  騰訊音樂－ＳＷ　         103,300      5,009,400
   1709  德林控股　　　　           1,000          3,610
   1729  匯聚科技（一千）         155,000        617,550
   1733  易大宗　　　　　         642,000        562,900
   1735  中環新能源　　　         356,000      3,390,440
   1766  中國中車　　　　         606,000      2,807,780
   1769  思考樂教育　　　          17,000         82,420
   1772  贛鋒鋰業　　　　         382,600      7,329,236
   1773  天立國際控股　　         182,000        648,640
   1776  廣發証券　　　　          51,200        498,954
   1783  晉景新能　　　　          33,000        242,600
   1787  山東黃金　　　　       2,459,500     52,489,550
   1788  國泰君安國際　　       1,277,000      1,240,390
   1789  愛康醫療　　　　         272,000      1,611,640
   1797  東方甄選　　　　          46,000        548,910
   1798  大唐新能源　　　         443,000        962,300
   1799  新特能源　　　　         147,200        657,948
   1800  中國交通建設　　         780,000      3,820,020
   1801  信達生物　　　　       1,791,000     87,766,025
   1810  小米集團－Ｗ　　      21,673,400    967,677,360
   1811  中廣核新能源　　          48,000        107,280
   1816  中廣核電力　　　       8,075,000     20,766,440
   1818  招金礦業　　　　       1,539,000     26,810,690
   1821  ESR                     143,800      1,768,572
   1833  平安好醫生　　　         193,500      1,388,644
   1836  九興控股　　　　         251,500      3,591,260
   1866  中國心連心化肥　          43,000        171,870
   1876  百威亞太　　　　       4,470,400     38,801,533
   1877  君實生物　　　　          34,200        515,748
   1880  中國中免　　　　         100,900      5,564,340
   1882  海天國際　　　　         128,000      2,311,900
   1883  中信國際電訊　　          81,000        180,580
   1888  建滔積層板　　　         495,500      3,813,285
   1896  貓眼娛樂　　　　         101,600        693,364
   1898  中煤能源　　　　       1,456,000     11,328,240
   1907  中國旭陽集團　　         166,000        431,010
   1908  建發國際集團　　         164,000      2,779,380
   1910  新秀麗　　　　　         843,900     11,864,100
   1913  普拉達　　　　　         119,600      5,856,285
   1918  融創中國　　　　       5,396,000      8,351,250
   1919  中遠海控　　　　       2,075,000     23,889,730
   1928  金沙中國有限公司       4,805,200     64,306,144
   1929  周大福　　　　　       2,570,600     24,037,498
   1951  錦欣生殖　　　　       7,610,500     25,116,750
   1952  雲頂新耀－Ｂ　　          86,000      4,384,375
   1958  北京汽車　　　　       3,453,500      6,410,220
   1963  重慶銀行　　　　           6,000         39,410
   1969  中國春來　　　　          13,000         53,790
   1972  太古地產　　　　         174,000      2,773,108
   1988  民生銀行　　　　       2,839,000     10,070,015
   1995  永升服務　　　　         166,000        303,920
   1997  九龍倉置業　　　         311,000      5,458,580
   1999  敏華控股　　　　         561,200      2,187,960
   2005  石四藥集團　　　         450,000      1,379,820
   2007  碧桂園　　　　　       2,785,000      1,225,690
   2009  金隅集團　　　　         434,000        304,480
   2013  微盟集團　　　　       3,253,000      5,409,200
   2015  理想汽車－Ｗ　　       1,197,900    110,872,020
   2016  浙商銀行　　　　          85,000        212,540
   2018  瑞聲科技　　　　       1,747,000     65,828,900
   2020  安踏體育　　　　       1,598,000    136,338,010
   2038  富智康集團　　　       1,129,000        896,480
   2039  中集集團　　　　         106,800        515,810
   2057  中通快遞－Ｗ　　         193,400     27,877,250
   2096  先聲藥業　　　　         197,000      1,608,810
   2099  中國黃金國際　　         137,200      7,246,255
   2121  創新奇智　　　　          62,900        239,106
   2128  中國聯塑　　　　         309,000      1,285,630
   2145  上美股份　　　　         102,400      5,375,275
   2155  森松國際　　　　       1,641,000      8,996,540
   2156  建發物業　　　　         111,000        262,690
   2157  樂普生物－Ｂ　　         646,000      2,779,850
   2158  醫渡科技　　　　         207,100      1,153,046
   2162  康諾亞－Ｂ　　　         118,500      5,274,075
   2171  科濟藥業－Ｂ　　         331,000      4,214,900
   2172  微創腦科學　　　          14,000        144,020
